Gene/Locus,Gene/Locus_name,Gene/Locus_MIM_number,Phenotype,Phenotype_MIM_number,Inheritance,Comments,Gene
"DEL1p36, C1DELp36",Chromosome 1p36 deletion syndrome,607872,Chromosome 1p36 deletion syndrome,607872,IC,contiguous gene deletion syndrome,DEL1p36
"ISG15, G1P2, IFI15, IMD38",ISG15 ubiquitin-like modifier,147571,Immunodeficiency 38,616126,AR,-,ISG15
"AGRN, CMS8",Agrin,103320,"Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects",615120,AR,-,AGRN
"TNFRSF4, TXGP1L, OX40, ACT35, IMD16","Tumor necrosis factor receptor superfamily, member 4",600315,?Immunodeficiency 16,615593,AR,mutation identified in 1 IMD16 family,TNFRSF4
"B3GALT6, SEMDJL1, EDSSPD2","UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6",615291,"Ehlers-Danlos syndrome, spondylodysplastic type, 2",615349,AR,-,B3GALT6
"B3GALT6, SEMDJL1, EDSSPD2","UDP-Gal:beta-Gal beta-1,3-galactosyltransferase polypeptide 6",615291,"Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures",271640,AR,-,B3GALT6
"DVL1, DRS2",Dishevelled 1 (homologous to Drosophila dsh),601365,"Robinow syndrome, autosomal dominant 2",616331,AD,-,DVL1
"ATAD3A, HAYOS","ATPase family, AAA domain-containing, member 3A",612316,Harel-Yoon syndrome,617183,"AD,AR",one family with AR inheritance reported,ATAD3A
"TMEM240, C1orf70, SCA21",Transmembrane protein 240,616101,Spinocerebellar ataxia 21,607454,AD,-,TMEM240
"GNB1, MRD42","Guanine nucleotide-binding protein, beta polypeptide-1",139380,"Leukemia, acute lymphoblastic, somatic",613065,-,-,GNB1
"GNB1, MRD42","Guanine nucleotide-binding protein, beta polypeptide-1",139380,"Mental retardation, autosomal dominant 42",616973,AD,-,GNB1
