OMIM_gene,OMIM_disease_ch,OMIM_id
FEB1,急性发热，家族性，10,121210
FEB2,急性发热，家族性，2,602477
FEB5,急性发热，家族性，5,609255
FEB6,急性发热，家族性，6,609253
FEB7,急性发热，家族性，7,611515
FEB9,急性发热，家族性，9,611634
FEB10,急性发热，家族性，10,612637
SEPT9 ,肌萎缩，遗传性神经痛;白血病，急性髓系白血病，治疗相关;卵巢癌 ,604061
SEPT12,精子形成障碍10 ,611562
A2M ,老年痴呆症，易感;α2-巨球蛋白缺乏症,103950
A4GALT,"血型, P1Pk系统，p表型;血型, P1Pk系统， P(2)表型;NOR多凝集反应综合征",607922
AA1,斑秃1,104000
AA2,斑秃2 ,610753
AAA2,主动脉瘤，家族腹部2,609782
AAA3,动脉瘤，家族性腹部3,611891
AAA4,主动脉瘤，家族腹部4,614375
AAAS,弛缓不能-肾上腺缺失-无泪综合征,605378
AAGAB,皮肤角化，掌跖的，点状的IA型,614888
AARS,轴突型Charcot-Marie-Tooth病，2N型;癫痫性脑病，早发幼儿，29,601065
AARS2,复合型氧化磷酸化缺陷症8;进行性脑白质病伴卵巢功能衰竭,612035
AASS,高赖氨酸血症;酵母氨酸尿症,605113
AAT1,主动脉瘤，家族性胸，1 ,607086
AAT2,主动脉瘤，家族性胸，2,607087
ABAT,GABA转氨酶缺乏症,137150
ABCA1,家族性高胆固醇血症的冠心病，保护耐药性;高密度脂蛋白缺乏症，2型;Tangier病（高密度脂蛋白缺乏症）,600046
ABCA12,鱼鳞病，常染色体隐性遗传4B（丑角样鱼鳞病）;鱼鳞病，先天性，常染色体隐性遗传4A,607800
ABCA3,肺表面活性剂功能障碍3型,601615
ABCA4,黄斑变性、年龄相关，2;视锥-视杆营养不良3;眼底黄色斑点症 ;视网膜变性，早期发病严重的;视网膜色素变性19 ;Stargardt病1 ,601691
ABCA7,"老年痴呆症9,易感性",605414
ABCB1,秋水仙碱抵抗型综合征;炎性肠病13型,171050
ABCB11,良性复发型肝内胆汁淤积2型 ;进行性家族性肝内胆汁淤积症2型,603201
ABCB4,妊娠期肝内胆汁淤积;进行性家族性肝内胆汁淤积;胆囊疾病,171060
ABCB6,血型，Langereis系统;遗传性全身性色素异常症3;单纯性小眼畸形，伴眼缺损7;假高血钾症，家族性，2，由于红细胞渗漏,605452
ABCB7,铁粒幼红细胞性贫血，伴共济失调,300135
ABCC11,狐臭，变异;初乳分泌，变异;耳垢，湿/干,607040
ABCC2,Dubin Johnson综合征 ,601107
ABCC6,婴儿型泛发性动脉钙化2型;弹性假黄色瘤;假黄瘤性黄瘤，顿挫型,603234
ABCC8,糖尿病，非胰岛素依赖型 ;糖尿病，永久性新生儿;糖尿病，暂时性新生儿2 ;家族性高胰岛素血症，1 ;婴儿期低血糖，亮氨酸敏感 ,600509
ABCC9,房性纤颤，家族性，12;肢带型肌营养不良10 ;多毛性软骨发育不良,601439
ABCD1,肾上腺脑白质营养不良症;肾上腺脊髓神经病，成人,300371
ABCD3,胆汁酸合成障碍，先天性，5,170995
ABCD4,甲基丙二酸血症伴同型半胱氨酸尿症cblJ型,603214
ABCG2,少年血型系统;尿酸浓度，血清、QTL1 ,603756
ABCG5,谷甾醇血症 ,605459
ABCG8,胆囊病4型;谷甾醇血症 ,605460
ABHD12,耳聋、共济失调、视网膜色素变性和白内障多神经病,613599
ABHD5,Chanarin Dorfman综合征 ,604780
ABL1,Philadelphia染色体阳性白血病，对伊马替尼耐药,189980
ABL2,急性髓系白血病，伴随嗜酸性粒细胞 ,164690
ABO,血型，ABO系统 ,110300
ACACA,乙酰辅酶A羧化酶缺乏症 ,200350
ACAD8,异丁酰-CoA脱氢酶缺乏症,604773
ACAD9,线粒体复合物I缺乏症由于ACAD9缺乏症（乙酰CoA脱氢酶缺乏症）,611103
ACADM,中链酰基辅酶A脱氢酶缺乏症,607008
ACADS,短链酰基辅酶A脱氢酶缺乏症,606885
ACADSB,2-甲基丁酰甘氨酸尿症,600301
ACADVL,极长链酰基辅酶A脱氢酶缺乏症 ,609575
ACAN,剥脱性骨软骨炎、身材矮小及早发性关节炎;先天性脊柱骨骺发育不良、蛋白聚糖型;迟发性脊椎骨骺发育不良，Kimberley型,155760
ACAT1,α-甲基乙酰乙酸尿症（β-酮硫酶缺乏症）,607809
ACAT2,乙酰辅酶A羧化酶2缺乏症；ACAT2的缺乏症,100678
ACD,先天性角化不良，常染色体显性遗传6 ;先天性角化不良，常染色体隐性遗传7,609377
ACE,血管紧张素转换酶，良性血清增加 ;老年痴呆症，易感;糖尿病的微血管并发症3;心肌梗死，易感;非典，进展;脑卒中，出血性;肾小管发育不全,106180
ACF,Cayler心面综合征 ,125520
ACHE,血型，YT系统,100740
