Disease_name,疾病名称（中文）,OMIM_id,Disease_name,OMIM英文名,OMIM中文名,Phenotype,遗传模式,incomplete penetrance,没有
"Multiple epiphyseal dysplasia, Al-Gazali type",多发性骨骺发育不良，Al Gazali型,607131,"Multiple epiphyseal dysplasia, Al-Gazali type",,,高腭，大头畸形，短颈，眼球运动异常，上睑下垂，眼球震颤，复视，情绪不稳，抑郁，多汗症，智力残疾，癫痫发作，共济失调，肌张力减退，痉挛状态，构音障碍，胼胝体发育不全，步态不稳，肌无力，震颤，反射亢进，巨脑，未能茁壮成长，发音困难，心脏猝死，前额突出，吞咽困难，恶心和呕吐，便秘，低体温，舞蹈样运动，呼吸功能不全，神经语言障碍，阵挛，脑电图异常，语言障碍，睡眠障碍，发育倒退，脑炎，中脑导水管狭窄，四肢瘫，自主神经功能失调，脑钙化，大便失禁，低血压，脊柱侧弯，驼背，脊柱前凹过度，锥体功能障碍，色素痣，睡眠呼吸暂停，面部神经麻痹，反复性嗝逆，自伤行为，大脸,AR,,
"Multiple epiphyseal dysplasia, with miniepiphyses",多发性骨骺发育不良伴随微小骨骺,609325,"Multiple epiphyseal dysplasia, with miniepiphyses",,,髌骨发育不全或不发育，短股骨，股骨颈变宽，膝内翻，周身关节松弛，身材矮小，腰脊柱前凸过度骨骺发育不良,AR,,
Alexander disease,亚历山大病,203450,Alexander disease,,,大头畸形，眼球运动异常，上睑下垂，眼球震颤，复视，情绪不稳，抑郁，多汗症，智力残疾，癫痫发作，共济失调，痉挛状态，构音障碍，胼胝体发育不全，步态不稳，震颤，反射亢进，巨脑，未能茁壮成长，发音困难，前额突出，吞咽困难，恶心和呕吐，便秘，低体温，神经语言障碍，阵挛，脑电图异常，语言障碍，睡眠障碍，四肢瘫，脑钙化，低血压，脊柱侧弯，驼背，锥体功能障碍，睡眠呼吸暂停，面部神经麻痹，反复性嗝逆，大脸,AD,,
"Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia",多发性骨骺发育不良伴严重股骨近端发育不良,609324,"Multiple epiphyseal dysplasia, with severe proximal femoral dysplasia",,,"喇叭状股骨干骺端,骨骺发育不良,股骨颈变宽,短股骨股骨近端干骺端不规则,扁平椎骨,身材矮小,手的异常,关节疼痛,髋关节痛,股骨远端骨骺扁平,髋内翻,膝外翻,椎体不规则",AD,,
Alpha-mannosidosis,α甘露糖苷贮积症,248500,Alpha-mannosidosis,,,腹股沟疝，巨舌，上腭狭窄，牙龈增生，面容粗糙，眼距过宽，眶上脊突出，听力障碍，慢性化脓性中耳炎，巨耳畸形，短颈，白内障，行为异常，智力残疾，肌张力减退，全面发育迟缓，髋关节发育不良，脾肿大，肝脏肿大，脊柱侧弯，骨骼发育不良，骨骼成熟延迟，驼背，颅面骨质增生，鼻梁凹陷，2型糖尿病，长骨弯曲，角膜混浊，下髂骨发育低下，开牙合畸形，耳轮异常，全身皮肤异常,AR,,
"Metaphyseal chondrodysplasia, Kaitila type",干骺端软骨发育不良，Kaitila型,250230,"Metaphyseal chondrodysplasia, Kaitila type",,,"干骺端不规则,干骺端增宽,干骺端软骨发育异常,胸窄,短甲短跖骨,干骺端发育不良,凸鼻嵴,宽甲,短肢，手指的指骨短,伸肘受限,手的指骨锥形骨骺,股骨近端干骺端不规则,髂骨发育低下,短掌,不相称的短肢矮小,呼吸系统异常,肢体发育不全,股骨近端骨骺骨化延迟,上腭狭窄,常染色体隐形遗传,指关节活动过度,运动延迟,关节膨大,短指（趾）畸形,胸腰脊柱侧弯",AR,,
Metaphyseal chondrodysplasia-retinitis pigmentosa syndrome,干骺端的视网膜色素变性综合征,250410,Metaphyseal chondrodysplasia-retinitis pigmentosa syndrome,,,"干骺端软骨发育异常，常染色体隐形遗传,视网膜色素变性,手指短末节指骨,短掌，",AR,,
Aspartylglucosaminuria,天冬氨酰葡糖胺尿症,208400,Aspartylglucosaminuria,,,巨大睾丸，巨舌，牙齿异常，牙龈增生，面容粗糙，下颌前突畸形，眼距过宽，宽鼻梁，龋齿，语言发育迟缓，鸡胸，智力残疾，脐疝，面部形状异常，神经语言障碍，脊柱侧弯，颅骨过厚，尺骨异常，异常的骨皮质形态异常，短鼻，氨基酸代谢异常，腰椎前缘鸟喙样凸出，小耳畸形，Aspartylglucosaminuria，厚嘴唇，运动障碍，大脸,AR,,
Multiple sulfatase deficiency,多发性硫酸脂酶缺乏症,272200,Multiple sulfatase deficiency,,,脑积水，大头畸形，面容粗糙，人中扁平，感音神经性耳聋，鼻孔前翻，视觉障碍，白内障，粗眉毛，视神经萎缩，智力残疾，癫痫发作，全面发育迟缓，新生儿张力减退，关节僵硬，脾肿大，毛发粗糙，肝脏肿大，发育倒退，周围神经传导异常，身材矮小，鼻梁凹陷，快速神经功能恶化，视网膜色素沉着异常，角膜混浊，鱼鳞病，粘多糖尿症，脚拇趾趾骨变宽，拇指变宽,AR,,
Beta-mannosidosis,β甘露糖苷贮积症,248510,Beta-mannosidosis,,,听力障碍，智力残疾，癫痫发作，面部形状异常，反复呼吸道感染，腹壁肌肉发育不良,AR,,
Canavan disease,Canavan病,271900,Canavan disease,,,大头畸形，听力障碍，视觉障碍，失明，视神经萎缩，视觉诱发电位异常，肌张力减退，全面发育迟缓，肌张力增高，胃食管反流，脑电图异常，意识减弱/意识错乱，婴儿期喂养困难，认知障碍,AR,,
Pontocerebellar hypoplasia type 5,脑桥小脑发育不全5型,610204,Pontocerebellar hypoplasia type 5,,,"橄榄桥脑小脑发育不全,先天发病,小头畸形,癫痫发作,常染色体隐形遗传",AR,,
Pontocerebellar hypoplasia type 4,脑桥小脑发育不全4型,225753,Pontocerebellar hypoplasia type 4,,,婴儿脑病，代谢紊乱/稳态失衡，婴幼儿死亡，肌阵挛，小头畸形，脑干发育不良，痉挛状态，羊水过多，严重的全面性发育迟缓，癫痫发作，常染色体隐形遗传，小脑发育不全，先天发病，脑桥发育不良，胶质细胞增生，先天性挛缩，小脑蚓部浦肯野细胞缺失,AR,,
Von Willebrand disease type 1,血管性血友病1型,193400,Von Willebrand disease type 1,,,胃肠道出血，常染色体显性遗传，出血时间延长，全血凝血时间延长，血小板聚集障碍，二尖瓣脱垂，胃肠道血管发育不良，关节出血，月经过多症，主动脉瓣狭窄，VIII凝血因子活性降低，IP，瘀斑易感性，鼻衄,AR,IP,
Cystinosis,胱氨酸贮积症,219750;219800;219900,Cystinosis,,,肾功能不全，蛋白尿，肾病，肾小管功能障碍，视网膜病变，畏光，刻板行为，甲状腺功能减退症，青春期延迟，肌无力，未能茁壮成长，脱水，烦渴，呕吐，低磷血症，佝偻病，低钾血症，肌病，氨基酸尿，身材矮小，角膜混浊，肾性尿崩症，疲倦，1型糖尿病,AR,,
Pontocerebellar hypoplasia type 6,脑桥小脑发育不全6型,611523,Pontocerebellar hypoplasia type 6,,,脑脊液乳酸升高，渐进性小头畸形，呼吸暂停，额头狭窄，脑萎缩，鼻梁突出，小脑萎缩，上肢痉挛，先天发病，吸吮无力，眼睛深陷，上腭狭窄，血清乳酸增高，癫痫发作，常染色体隐形遗传，未能茁壮成长，小脑发育不全，进行性/渐进性，下肢痉挛，反射亢进，肌张力减退，儿童期死亡，全面发育迟缓，头部控制能力弱,AR,,
Von Willebrand disease type 2A,血管性血友病2A型,613554,Von Willebrand disease type 2A,,,常染色体显性遗传，月经过多症，鼻衄，表现度差异，瘀斑易感性，常染色体隐形遗传,"AD,AR",,
Farber disease,Farber脂肪肉芽肿病,228000,Farber disease,,,眼球震颤，骨质疏松，关节肿胀，关节僵硬，皮下结节，未能茁壮成长，喉软骨软化，声音嘶哑的叫喊，呼吸功能不全，反复呼吸道感染，肝脏肿大，驼背，关节疼痛，减少肌肉质量，身材矮小，关节周围皮下结节,AR,,
Fucosidosis,岩藻糖苷贮积病,230000,Fucosidosis,,,短头畸形，面容粗糙，听力障碍，甲状腺功能减退症，多发性成骨不良，多汗症，癫痫发作，肌张力减退，痉挛状态，全面发育迟缓，未能茁壮成长，心血管系统异常，面部形状异常，肝脏肿大，痉挛性四肢瘫，驼背，减少肌肉质量，胆囊异常，泛发性角化过度，角膜混浊，粘多糖尿症，腰椎前缘鸟喙样凸出，重度智力残疾，前额突出，皮肤血管异常，脂肪萎缩,AR,,
