Disease ID	Disease	TYPE of Disease	GeneSymbol	Inheritance
D-0001	Alagille综合征	消化系统	JAG1	AD
D-0001	Alagille综合征	消化系统	NOTCH2	AD
D-0050	黏多糖贮积症	代谢及免疫系统	SGCE	AD
D-0087	血色病	代谢及免疫系统	FTH1	AD
D-0101	珠蛋白生成障碍性贫血	血液系统疾病	HBA1	AD
D-0101	珠蛋白生成障碍性贫血	血液系统疾病	HBA2	AD
D-0103	急性间歇性卟啉病	血液系统疾病	HMBS	AD
D-0104	甲亢性周期性瘫痪	血液系统疾病	CACNA1S	AD
D-0115	因子Ⅱ缺乏症	血液系统疾病	F2	AD
D-0118	ELANE相关性嗜中性白血球减少症	血液系统疾病	ELANE	AD
D-0119	长QT综合征	心血管系统	KCNQ1	AD
D-0119	长QT综合征	心血管系统	KCNH2	AD
D-0119	长QT综合征	心血管系统	SCN5A	AD
D-0119	长QT综合征	心血管系统	ANK2	AD
D-0119	长QT综合征	心血管系统	KCNE1	AD
D-0119	长QT综合征	心血管系统	KCNE2	AD
D-0119	长QT综合征	心血管系统	KCNJ2	AD
D-0119	长QT综合征	心血管系统	CACNA1C	AD
D-0119	长QT综合征	心血管系统	SCN4B	AD
D-0119	长QT综合征	心血管系统	AKAP9	AD
D-0122	伴有皮质下梗死和白质脑病的常染色体显性遗传性脑动脉病	心血管系统	NOTCH3	AD
D-0124	局灶性阶段性肾小球硬化症	泌尿生殖系统	ACTN4	AD
D-0124	局灶性阶段性肾小球硬化症	泌尿生殖系统	TRPC6	AD
D-0124	局灶性阶段性肾小球硬化症	泌尿生殖系统	CD2AP	AD
D-0124	局灶性阶段性肾小球硬化症	泌尿生殖系统	CD2AP	AD
D-0124	局灶性阶段性肾小球硬化症	泌尿生殖系统	INF2	AD
D-0127	肾小管性酸中毒	泌尿生殖系统	SLC4A1	AD
D-0129	家族性青少年高尿酸血症肾病1型	泌尿生殖系统	UMOD	AD
D-0130	利德尔综合征	泌尿生殖系统	SCNN1B	AD
D-0130	利德尔综合征	泌尿生殖系统	SCNN1G	AD
D-0137	非典型溶血尿毒综合征	泌尿生殖系统	C3	AD
D-0138	多囊肾病	泌尿生殖系统	PKD1	AD
D-0138	多囊肾病	泌尿生殖系统	PKD2	AD
D-0142	假性醛固酮减少症	泌尿生殖系统	NR3C2	AD
D-0142	假性醛固酮减少症	泌尿生殖系统	WNK4	AD
D-0152	Fechtner综合征	内分泌系统	MYH9	AD
D-0154	指甲-髌骨综合征	内分泌系统	LMX1B	AD
D-0156	46,XY性发育不全综合征	内分泌系统	NR5A1	AD
D-0156	46,XY性发育不全综合征	内分泌系统	ZFPM2	AD
D-0159	糖尿病	内分泌系统	HNF1A	AD
D-0159	糖尿病	内分泌系统	INS	AD
D-0159	糖尿病	内分泌系统	HNF1B	AD
D-0159	糖尿病	内分泌系统	GCK	AD
D-0160	Serkal综合征/米勒管发育不良与高雄激素血症	内分泌系统	WNT4	AD
D-0166	广泛性先天发育不良	内分泌系统	SOX9	AD
D-0167	多发性骨性连接综合征3型	内分泌系统	FGF9	AD
D-0168	多发性内分泌腺瘤病Ⅱ型	内分泌系统	RET	AD
D-0170	房间隔缺损Ⅱ型	内分泌系统	GATA4	AD
D-0171	FGFR1-相关性颅缝早闭谱系障碍	内分泌系统	FGFR1	AD
