OMIM_disease,OMIM_phen_key,OMIM_orgene,OMIM_id,OMIM_pos,OMIM_gene
"17-alpha-hydroxylase/17,20-lyase deficiency, 202110 ",3,"CYP17A1, CYP17, P450C17",609300,10q24.32,CYP17A1
"17-beta-hydroxysteroid dehydrogenase X deficiency, 300438 ",3,"HSD17B10, HADH2, ERAB, MRXS10",300256,Xp11.22,HSD17B10
"Mental retardation, X-linked syndromic 10, 300220 ",3,"HSD17B10, HADH2, ERAB, MRXS10",300256,Xp11.22,HSD17B10
"3-hydroxyacyl-CoA dehydrogenase deficiency, 231530 ",3,"HADHSC, SCHAD, HHF4",601609,4q25,HADHSC
"Hyperinsulinemic hypoglycemia, familial, 4, 609975 ",3,"HADHSC, SCHAD, HHF4",601609,4q25,HADHSC
"3-M syndrome 2, 612921 ",3,"OBSL1, KIAA0657, 3M2",610991,2q35,OBSL1
"3-Methylcrotonyl-CoA carboxylase 1 deficiency, 210200 ",3,"MCCC1, MCCA",609010,3q27.1,MCCC1
"3-Methylcrotonyl-CoA carboxylase 2 deficiency, 210210 ",3,"MCCC2, MCCB",609014,5q13.2,MCCC2
"3-methylglutaconic aciduria, type III, 258501 ",3,"OPA3, MGA3",606580,19q13.32,OPA3
"Optic atrophy 3 with cataract, 165300 ",3,"OPA3, MGA3",606580,19q13.32,OPA3
"46XY partial gonadal dysgenesis, with minifascicular neuropathy, 607080 ",3,"DHH, SRXY7, GDXYM",605423,12q13.12,DHH
"46XY sex reversal 7, 233420 ",3,"DHH, SRXY7, GDXYM",605423,12q13.12,DHH
"46XY sex reversal 1, 400044 ",3,"SRY, TDF, TDY, SRXX1, SRXY1",480000,Yp11.2,SRY
"46XX sex reversal 1, 400045 ",3,"SRY, TDF, TDY, SRXX1, SRXY1",480000,Yp11.2,SRY
"46XY sex reversal 3, 612965 ",3,"NR5A1, FTZF1, FTZ1, SF1, AD4BP, POF7, SRXY3, SPGF8",184757,9q33.3,NR5A1
"Premature ovarian failure 7, 612964 ",3,"NR5A1, FTZF1, FTZ1, SF1, AD4BP, POF7, SRXY3, SPGF8",184757,9q33.3,NR5A1
"Spermatogenic failure 8, 613957 ",3,"NR5A1, FTZF1, FTZ1, SF1, AD4BP, POF7, SRXY3, SPGF8",184757,9q33.3,NR5A1
"46XY sex reversal 2, dosage-sensitive, 300018 ",3,"DAX1, AHC, AHX, NR0B1, SRXY2",300473,Xp21.2,DAX1
"46XY sex reversal 9, 616067 ",3,"ZFPM2, FOG2, DIH3, SRXY9",603693,8q23.1,ZFPM2
"5-fluorouracil toxicity, 274270 ",3,"DPYD, DPD",612779,1p21.3,DPYD
"Abruzzo-Erickson syndrome, 302905 ",3,"TBX22, CPX, ABERS",300307,Xq21.1,TBX22
"Acromesomelic dysplasia, Hunter-Thompson type, 201250 ",3,"GDF5, CDMP1, SYNS2, OS5, BDA1C, SYM1B",601146,20q11.22,GDF5
"Agammaglobulinemia 5, 613506 ",3,"LRRC8A, KIAA1437, AGM5",608360,9q34.11,LRRC8A
